Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
search result page,Chrome 89.0.4389.114,,,2021-04-06 16:03:40,2021-04-06 16:08:38,4m - 58.306s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_001,Chrome 89.0.4389.114,,,2021-04-06 16:03:40,2021-04-06 16:04:00,20.359s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:03:40,2021-04-06 16:03:54,13.544s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:03:54,2021-04-06 16:03:56,1.865s,PASSED
"verifyElementClickable(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:03:56,2021-04-06 16:03:56,0.746s,PASSED
"click(findTestObject(""Search Objects/Page_diagnostics/input_Molecular diagnostic_btn-find""))",Chrome 89.0.4389.114,,,2021-04-06 16:03:56,2021-04-06 16:03:59,2.071s,PASSED
"waitForElementVisible(findTestObject(""Search Objects/Page_diagnostics/div_item_list""), 0)",Chrome 89.0.4389.114,,,2021-04-06 16:03:59,2021-04-06 16:04:00,1.028s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/CLOSE BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:04:00,2021-04-06 16:04:00,0.866s,PASSED
,,,,,,,
Test Cases/Custom Search Page/TEST CASE/TC_SEARCH_UI_002,Chrome 89.0.4389.114,,,2021-04-06 16:04:00,2021-04-06 16:04:18,17.912s,PASSED
"callTestCase(findTestCase(""Custom Search Page/UTILITIES/OPEN BROWSER""), [:], STOP_ON_FAILURE)",Chrome 89.0.4389.114,,,2021-04-06 16:04:01,2021-04-06 16:04:13,12.800s,PASSED
